State,Abbreviation,Latitude_deg,Longitude_deg,Area_sq-Km
Alabama,AL,32.806671,-86.79113,135765.0
Alaska,AK,61.370716,-152.404419,1717854.0
Arizona,AZ,33.729759,-111.431221,295254.0
Arkansas,AR,34.969704,-92.373123,137732.0
California,CA,36.116203,-119.681564,423970.0
Colorado,CO,39.059811,-105.311104,269601.0
Connecticut,CT,41.597782,-72.755371,14357.0
Delaware,DE,39.318523,-75.507141,6447.0
District of Columbia,DC,38.897438,-77.026817,176.75
Florida,FL,27.766279,-81.686783,170304.0
Georgia,GA,33.040619,-83.643074,153909.0
Hawaii,HI,21.094318,-157.498337,28311.0
Idaho,ID,44.240459,-114.478828,216446.0
Illinois,IL,40.349457,-88.986137,149998.0
Indiana,IN,39.849426,-86.258278,94321.0
Iowa,IA,42.011539,-93.210526,145743.0
Kansas,KS,38.5266,-96.726486,213096.0
Kentucky,KY,37.66814,-84.670067,104659.0
Louisiana,LA,31.169546,-91.867805,134264.0
Maine,ME,44.693947,-69.381927,91646.0
Maryland,MD,39.063946,-76.802101,32133.0
Massachusetts,MA,42.230171,-71.530106,27336.0
Michigan,MI,43.326618,-84.536095,250494.0
Minnesota,MN,45.694454,-93.900192,225171.0
Mississippi,MS,32.741646,-89.678696,125434.0
Missouri,MO,38.456085,-92.288368,180533.0
Montana,MT,46.921925,-110.454353,380838.0
Nebraska,NE,41.12537,-98.268082,200356.0
Nevada,NV,38.313515,-117.055374,286351.0
New Hampshire,NH,43.452492,-71.563896,24216.0
New Jersey,NJ,40.298904,-74.521011,22588.0
New Mexico,NM,34.840515,-106.248482,314915.0
New York,NY,42.165726,-74.948051,141299.0
North Carolina,NC,35.630066,-79.806419,139389.0
North Dakota,ND,47.528912,-99.784012,183112.0
Ohio,OH,40.388783,-82.764915,116096.0
Oklahoma,OK,35.565342,-96.928917,181035.0
Oregon,OR,44.572021,-122.070938,254805.0
Pennsylvania,PA,40.590752,-77.209755,119283.0
Rhode Island,RI,41.680893,-71.51178,4002.0
South Carolina,SC,33.856892,-80.945007,82932.0
South Dakota,SD,44.299782,-99.438828,199742.0
Tennessee,TN,35.747845,-86.692345,109151.0
Texas,TX,31.054487,-97.563461,695621.0
Utah,UT,40.150032,-111.862434,219887.0
Vermont,VT,44.045876,-72.710686,24901.0
Virginia,VA,37.769337,-78.169968,110785.0
Washington,WA,47.400902,-121.490494,184665.0
West Virginia,WV,38.491226,-80.954453,62755.0
Wisconsin,WI,44.268543,-89.616508,169639.0
Wyoming,WY,42.755966,-107.30249,253336.0
