Name,Sex,Count,MaleCount,FemaleCount
Aarnav,M,118,118,0
Aarohi,F,238,0,238
Aaron,M,572543,570740,1803
Aaronjames,M,16,16,0
Aaronjoshua,M,5,5,0
Aaronmichael,M,6,6,0
Aarron,M,145,145,0
Aarti,F,22,0,22
Aarush,M,1558,1558,0
Aarushi,F,210,0,210
Aarvi,F,28,0,28
Aarya,F,1056,43,1013
Aaryan,M,829,829,0
Aaryav,M,16,16,0
Aaryn,F,174,38,136
Aasha,F,5,0,5
Aashi,F,191,0,191
Aashna,F,180,0,180
Aashritha,F,5,0,5
Aashvi,F,95,0,95
Aasia,F,5,0,5
Aasim,M,61,61,0
Aasir,M,21,21,0
Aasiyah,F,131,0,131
Aastha,F,61,0,61
Aavya,F,84,0,84
Aayan,M,951,951,0
Aayansh,M,37,37,0
Aayat,F,40,0,40
Aayden,M,762,762,0
Aayla,F,23,0,23
Aayush,M,567,567,0
Aayushi,F,6,0,6
Ab,M,95,95,0
Abagail,F,3935,0,3935
Abagayle,F,5,0,5
Abaigeal,F,5,0,5
Abanoub,M,16,16,0
Abayomi,M,6,6,0
Abba,M,19,19,0
Abbagail,F,65,0,65
Abbas,M,505,505,0
Abbe,F,370,0,370
Abbey,F,14632,0,14632
Abbi,F,296,0,296
Abbie,F,13280,5,13275
Abbiegail,F,5,0,5
Abbigail,F,9924,0,9924
Abbigale,F,714,0,714
Abbigayle,F,212,0,212
Abbott,M,106,106,0
Abby,F,54612,14,54598
Abbye,F,5,0,5
Abbygail,F,1979,0,1979
Abbygale,F,112,0,112
Abbygayle,F,18,0,18
Abcde,F,230,0,230
Abdalla,M,6,6,0
Abdallah,M,347,347,0
Abdel,M,44,44,0
Abdelrahman,M,78,78,0
Abdi,M,16,16,0
Abdias,M,140,140,0
Abdiaziz,M,31,31,0
Abdiel,M,3102,3102,0
Abdifatah,M,23,23,0
Abdihafid,M,5,5,0
Abdikadir,M,6,6,0
Abdimalik,M,52,52,0
Abdinasir,M,15,15,0
Abdiqani,M,5,5,0
Abdirahim,M,5,5,0
Abdirahman,M,1086,1086,0
Abdirizak,M,22,22,0
Abdishakur,M,5,5,0
Abdo,M,5,5,0
Abdon,M,28,28,0
Abdou,M,26,26,0
Abdoul,M,186,186,0
Abdoulaye,M,320,320,0
Abdoulie,M,10,10,0
Abdul,M,3999,3999,0
Abdulahi,M,187,187,0
Abdulai,M,5,5,0
Abdulaziz,M,326,326,0
Abdulla,M,26,26,0
Abdullah,M,5149,5149,0
Abdullahi,M,805,805,0
Abdulmalik,M,21,21,0
Abdulrahman,M,997,997,0
Abdur,M,16,16,0
Abdurahman,M,6,6,0
Abdurrahman,M,124,124,0
Abe,M,3970,3970,0
Abeeha,F,6,0,6
Abeer,F,32,0,32
Abegail,F,37,0,37
Abel,M,46278,46278,0
Abelardo,M,3138,3138,0
Abelina,F,108,0,108
Abelino,M,266,266,0
Abella,F,263,0,263
Abena,F,85,0,85
Abenezer,M,5,5,0
Abeni,F,20,0,20
Aberdeen,F,16,0,16
Abhay,M,200,200,0
Abhi,M,6,6,0
Abhijot,M,5,5,0
Abhimanyu,M,10,10,0
Abhinav,M,929,929,0
Abhiram,M,334,334,0
Abhishek,M,213,213,0
Abi,F,16,0,16
Abid,M,37,37,0
Abie,M,34,34,0
Abiel,M,498,498,0
Abigael,F,486,0,486
Abigaelle,F,68,0,68
Abigail,F,353323,114,353209
Abigaile,F,16,0,16
Abigal,F,39,0,39
Abigale,F,3758,0,3758
Abigayl,F,5,0,5
Abigayle,F,4260,5,4255
Abiha,F,7,0,7
Abilene,F,301,0,301
Abimael,M,375,375,0
Abiola,F,5,0,5
Abir,M,59,59,0
Abisai,M,392,375,17
Able,M,101,101,0
Abner,M,3581,3581,0
Abou,M,11,11,0
Aboubacar,M,143,143,0
Aboubakar,M,11,11,0
Abra,F,72,0,72
Abraham,M,81412,81401,11
Abrahan,M,390,390,0
Abrahim,M,51,51,0
Abrahm,M,53,53,0
Abram,M,11922,11922,0
Abran,M,1014,1014,0
Abrar,U,175,104,71
Abreanna,F,5,0,5
Abree,F,78,0,78
Abrham,M,5,5,0
