state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
AR,1910,11042,3503,7539,466
AR,1911,10618,3458,7160,439
AR,1912,15833,6335,9498,574
AR,1913,17969,7796,10173,629
AR,1914,22430,10042,12388,715
AR,1915,28483,12997,15486,812
AR,1916,30094,13701,16393,859
AR,1917,32848,14846,18002,911
AR,1918,35718,16216,19502,941
AR,1919,37496,17204,20292,973
AR,1920,38282,17499,20783,974
AR,1921,38816,17875,20941,983
AR,1922,38382,17704,20678,992
AR,1923,38125,17689,20436,940
AR,1924,40031,18361,21670,980
AR,1925,39833,18096,21737,947
AR,1926,38946,18309,20637,936
AR,1927,38286,18027,20259,910
AR,1928,35380,16858,18522,853
AR,1929,34892,16649,18243,860
AR,1930,36380,17428,18952,855
AR,1931,33975,16395,17580,845
AR,1932,36461,17716,18745,864
AR,1933,35599,17273,18326,870
AR,1934,36821,18057,18764,871
AR,1935,37275,18338,18937,877
AR,1936,34207,16900,17307,809
AR,1937,35216,17540,17676,794
AR,1938,36911,18201,18710,853
AR,1939,36303,18106,18197,822
AR,1940,38362,19244,19118,844
AR,1941,39421,19771,19650,845
AR,1942,41323,20953,20370,848
AR,1943,41805,21031,20774,851
AR,1944,39487,20051,19436,812
AR,1945,37073,18758,18315,789
AR,1946,43331,22249,21082,840
AR,1947,47387,24026,23361,862
AR,1948,45270,22868,22402,859
AR,1949,44953,22609,22344,859
AR,1950,43606,22265,21341,842
AR,1951,42633,22007,20626,831
AR,1952,41371,21447,19924,832
AR,1953,40376,20945,19431,819
AR,1954,40301,20978,19323,834
AR,1955,38769,20063,18706,822
AR,1956,39212,20324,18888,834
AR,1957,38964,20410,18554,834
AR,1958,37674,19747,17927,843
AR,1959,37378,19582,17796,848
AR,1960,37099,19305,17794,847
AR,1961,37027,19542,17485,850
AR,1962,37206,19581,17625,837
AR,1963,36945,19457,17488,860
AR,1964,36466,19058,17408,874
AR,1965,31901,16970,14931,818
AR,1966,29710,15762,13948,797
AR,1967,28505,15053,13452,761
AR,1968,27919,14920,12999,771
AR,1969,28787,15272,13515,797
AR,1970,29674,16052,13622,787
AR,1971,29858,15948,13910,794
AR,1972,28062,14968,13094,777
AR,1973,27473,15017,12456,784
AR,1974,28364,15548,12816,811
AR,1975,27534,14898,12636,809
AR,1976,27239,14842,12397,791
AR,1977,28426,15433,12993,825
AR,1978,27327,14745,12582,791
AR,1979,28918,15950,12968,843
AR,1980,29727,16219,13508,844
AR,1981,28007,15295,12712,792
AR,1982,28129,15364,12765,800
AR,1983,28111,15165,12946,794
AR,1984,27952,15177,12775,794
AR,1985,27968,15265,12703,811
AR,1986,27170,14754,12416,779
AR,1987,27213,14948,12265,810
AR,1988,27047,14690,12357,810
AR,1989,27827,15332,12495,817
AR,1990,28101,15474,12627,861
AR,1991,26999,14959,12040,837
AR,1992,26180,14325,11855,846
AR,1993,25864,14273,11591,853
AR,1994,25272,13866,11406,860
AR,1995,25474,13874,11600,876
AR,1996,26207,14512,11695,892
AR,1997,26135,14658,11477,949
AR,1998,26342,14444,11898,969
AR,1999,26140,14358,11782,974
AR,2000,27042,14888,12154,1032
AR,2001,26308,14647,11661,1027
AR,2002,26445,14634,11811,1057
AR,2003,26717,14813,11904,1070
AR,2004,27057,15034,12023,1099
AR,2005,27335,15048,12287,1156
AR,2006,28058,15597,12461,1186
AR,2007,28273,15819,12454,1240
AR,2008,27382,15190,12192,1222
AR,2009,26745,14982,11763,1223
AR,2010,25674,14380,11294,1212
AR,2011,25918,14459,11459,1210
AR,2012,25555,14214,11341,1209
AR,2013,25408,14163,11245,1215
AR,2014,26040,14497,11543,1220
AR,2015,26224,14515,11709,1265
AR,2016,25356,14218,11138,1231
AR,2017,24555,13497,11058,1231
