state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
IN,1910,10161,2771,7390,361
IN,1911,11294,3417,7877,386
IN,1912,20475,9103,11372,542
IN,1913,23961,10751,13210,573
IN,1914,30273,14477,15796,662
IN,1915,42864,20016,22848,794
IN,1916,44061,20352,23709,804
IN,1917,45386,21106,24280,809
IN,1918,49344,23386,25958,838
IN,1919,45535,21282,24253,787
IN,1920,50369,23896,26473,822
IN,1921,53314,25701,27613,827
IN,1922,51129,24796,26333,815
IN,1923,52834,25876,26958,826
IN,1924,55128,26882,28246,833
IN,1925,52600,25751,26849,807
IN,1926,51975,25846,26129,801
IN,1927,52170,25952,26218,786
IN,1928,50828,25552,25276,790
IN,1929,49724,25050,24674,771
IN,1930,50658,25554,25104,762
IN,1931,47524,23849,23675,743
IN,1932,45872,23102,22770,743
IN,1933,43470,22021,21449,711
IN,1934,45335,22914,22421,717
IN,1935,46281,23536,22745,725
IN,1936,47121,23934,23187,739
IN,1937,49388,25388,24000,764
IN,1938,53047,26987,26060,775
IN,1939,51870,26474,25396,763
IN,1940,55289,28424,26865,789
IN,1941,58868,30089,28779,809
IN,1942,66197,34241,31956,872
IN,1943,66748,34218,32530,866
IN,1944,63937,33166,30771,864
IN,1945,61382,31829,29553,826
IN,1946,77811,40139,37672,944
IN,1947,88072,45102,42970,995
IN,1948,84700,43631,41069,971
IN,1949,86746,44749,41997,981
IN,1950,86788,44924,41864,992
IN,1951,93968,48624,45344,1029
IN,1952,96975,50395,46580,1091
IN,1953,97732,50747,46985,1073
IN,1954,101283,52451,48832,1116
IN,1955,101215,52980,48235,1141
IN,1956,105730,55239,50491,1178
IN,1957,107907,56031,51876,1206
IN,1958,105141,54699,50442,1212
IN,1959,104824,54792,50032,1220
IN,1960,104676,54284,50392,1221
IN,1961,103993,54121,49872,1237
IN,1962,100683,52276,48407,1223
IN,1963,98415,51325,47090,1214
IN,1964,97691,50845,46846,1222
IN,1965,90255,47275,42980,1196
IN,1966,87569,45510,42059,1169
IN,1967,85744,45008,40736,1203
IN,1968,83721,43929,39792,1183
IN,1969,85974,45062,40912,1195
IN,1970,90839,47759,43080,1294
IN,1971,86963,45854,41109,1321
IN,1972,78675,41633,37042,1248
IN,1973,75181,39730,35451,1232
IN,1974,74440,39540,34900,1242
IN,1975,73590,39210,34380,1263
IN,1976,71949,38166,33783,1260
IN,1977,75705,40474,35231,1279
IN,1978,74101,39303,34798,1259
IN,1979,77321,41086,36235,1288
IN,1980,78736,41751,36985,1306
IN,1981,74994,40107,34887,1272
IN,1982,74803,39623,35180,1255
IN,1983,71706,37899,33807,1221
IN,1984,71104,37801,33303,1194
IN,1985,71717,37677,34040,1242
IN,1986,69798,36945,32853,1238
IN,1987,69036,36923,32113,1267
IN,1988,72697,38778,33919,1344
IN,1989,73942,39615,34327,1365
IN,1990,75669,40503,35166,1421
IN,1991,74773,39955,34818,1450
IN,1992,72418,39181,33237,1440
IN,1993,71814,38660,33154,1489
IN,1994,70416,37642,32774,1485
IN,1995,70840,38094,32746,1520
IN,1996,70485,37596,32889,1555
IN,1997,70076,37293,32783,1623
IN,1998,71093,38025,33068,1645
IN,1999,71614,38409,33205,1694
IN,2000,72587,39302,33285,1758
IN,2001,71419,38404,33015,1800
IN,2002,69519,37267,32252,1796
IN,2003,70769,38388,32381,1844
IN,2004,71199,38721,32478,1928
IN,2005,70703,38232,32471,1964
IN,2006,71760,38727,33033,2019
IN,2007,72219,39123,33096,2117
IN,2008,70653,38208,32445,2112
IN,2009,68899,37296,31603,2161
IN,2010,66296,36060,30236,2110
IN,2011,66157,35918,30239,2122
IN,2012,65522,35561,29961,2110
IN,2013,65213,35504,29709,2096
IN,2014,66328,35960,30368,2132
IN,2015,66390,35914,30476,2177
IN,2016,65426,35347,30079,2177
IN,2017,63983,34147,29836,2155
