state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
FL,1910,6614,2587,4027,341
FL,1911,6169,2427,3742,320
FL,1912,9689,4292,5397,416
FL,1913,10296,4776,5520,433
FL,1914,13663,6382,7281,511
FL,1915,15869,7473,8396,556
FL,1916,16195,7512,8683,561
FL,1917,16731,7815,8916,579
FL,1918,18563,8795,9768,598
FL,1919,19093,8981,10112,629
FL,1920,20199,9663,10536,623
FL,1921,21405,10079,11326,640
FL,1922,22075,10428,11647,666
FL,1923,22041,10211,11830,653
FL,1924,25003,11667,13336,683
FL,1925,28129,13198,14931,722
FL,1926,32007,15265,16742,771
FL,1927,30439,14580,15859,742
FL,1928,26754,13076,13678,686
FL,1929,23833,11559,12274,676
FL,1930,23923,11830,12093,652
FL,1931,22962,11239,11723,631
FL,1932,24384,12120,12264,657
FL,1933,22199,10983,11216,655
FL,1934,23382,11711,11671,643
FL,1935,24846,12371,12475,662
FL,1936,25101,12509,12592,674
FL,1937,25799,12813,12986,680
FL,1938,27392,13821,13571,705
FL,1939,28183,14360,13823,701
FL,1940,30279,15465,14814,740
FL,1941,32797,16616,16181,733
FL,1942,36394,18603,17791,792
FL,1943,42653,21817,20836,856
FL,1944,45771,23485,22286,867
FL,1945,45926,23480,22446,858
FL,1946,49788,25418,24370,912
FL,1947,55905,28801,27104,946
FL,1948,55178,28401,26777,962
FL,1949,56104,29171,26933,973
FL,1950,58777,30480,28297,982
FL,1951,64021,33176,30845,1032
FL,1952,68259,35532,32727,1073
FL,1953,73988,38264,35724,1129
FL,1954,78570,40919,37651,1180
FL,1955,82667,43058,39609,1201
FL,1956,90122,47142,42980,1260
FL,1957,95951,50043,45908,1327
FL,1958,99096,51664,47432,1351
FL,1959,102491,53666,48825,1386
FL,1960,105128,54862,50266,1441
FL,1961,104995,54974,50021,1462
FL,1962,103415,54193,49222,1529
FL,1963,102029,53513,48516,1510
FL,1964,100724,52698,48026,1521
FL,1965,93998,49590,44408,1461
FL,1966,90614,47730,42884,1455
FL,1967,87994,46577,41417,1455
FL,1968,89755,47502,42253,1483
FL,1969,94738,50343,44395,1504
FL,1970,101438,53809,47629,1636
FL,1971,101606,53853,47753,1695
FL,1972,95028,50532,44496,1664
FL,1973,92499,49545,42954,1678
FL,1974,94400,50703,43697,1738
FL,1975,89385,48026,41359,1706
FL,1976,88211,47240,40971,1729
FL,1977,93281,50073,43208,1769
FL,1978,95086,51049,44037,1808
FL,1979,101664,54797,46867,1893
FL,1980,111386,59787,51599,1961
FL,1981,117075,62992,54083,2046
FL,1982,122774,66074,56700,2096
FL,1983,126971,68122,58849,2089
FL,1984,132841,71189,61652,2135
FL,1985,139815,74580,65235,2264
FL,1986,142794,76370,66424,2262
FL,1987,148869,79469,69400,2374
FL,1988,157247,84370,72877,2511
FL,1989,166291,89279,77012,2621
FL,1990,170729,91633,79096,2720
FL,1991,165313,88980,76333,2731
FL,1992,162490,87447,75043,2792
FL,1993,162190,87750,74440,2790
FL,1994,159908,85403,74505,2837
FL,1995,157708,84865,72843,2814
FL,1996,157575,84860,72715,2927
FL,1997,159194,85851,73343,3008
FL,1998,160930,86668,74262,3079
FL,1999,161511,86815,74696,3184
FL,2000,166553,89267,77286,3314
FL,2001,167105,89798,77307,3375
FL,2002,166935,89943,76992,3449
FL,2003,173228,93433,79795,3616
FL,2004,177539,95570,81969,3742
FL,2005,184603,98952,85651,3883
FL,2006,192327,103277,89050,4087
FL,2007,193290,104085,89205,4122
FL,2008,186395,100401,85994,4090
FL,2009,177403,95180,82223,4049
FL,2010,171985,92522,79463,4019
FL,2011,171265,91875,79390,4020
FL,2012,171233,91776,79457,4012
FL,2013,174086,93172,80914,4035
FL,2014,179210,95729,83481,4067
FL,2015,183633,97956,85677,4178
FL,2016,183823,97498,86325,4126
FL,2017,181085,95843,85242,4186
