state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
DC,1910,1514,640,874,96
DC,1911,1603,640,963,106
DC,1912,2345,1071,1274,132
DC,1913,2598,1169,1429,134
DC,1914,3263,1516,1747,175
DC,1915,3948,1748,2200,194
DC,1916,4337,2030,2307,198
DC,1917,4731,2175,2556,209
DC,1918,5658,2694,2964,230
DC,1919,5635,2664,2971,220
DC,1920,6281,2981,3300,250
DC,1921,6430,3100,3330,260
DC,1922,6649,3182,3467,257
DC,1923,6670,3205,3465,257
DC,1924,7185,3281,3904,263
DC,1925,6995,3400,3595,262
DC,1926,6847,3383,3464,259
DC,1927,7066,3466,3600,266
DC,1928,6775,3293,3482,263
DC,1929,6755,3332,3423,264
DC,1930,7019,3589,3430,253
DC,1931,7069,3506,3563,267
DC,1932,7631,3823,3808,287
DC,1933,7394,3751,3643,276
DC,1934,7741,3786,3955,288
DC,1935,8311,4216,4095,295
DC,1936,8944,4508,4436,318
DC,1937,9708,4920,4788,336
DC,1938,10281,5284,4997,345
DC,1939,11332,5736,5596,366
DC,1940,12468,6335,6133,400
DC,1941,14788,7489,7299,424
DC,1942,17770,9171,8599,453
DC,1943,19358,9715,9643,484
DC,1944,19137,9923,9214,474
DC,1945,19446,10021,9425,491
DC,1946,22069,11390,10679,518
DC,1947,24215,12507,11708,552
DC,1948,23457,12338,11119,534
DC,1949,23666,12169,11497,555
DC,1950,24933,13126,11807,588
DC,1951,26576,13878,12698,611
DC,1952,27498,14431,13067,621
DC,1953,27345,14370,12975,626
DC,1954,27827,14609,13218,631
DC,1955,28207,14948,13259,649
DC,1956,28478,14966,13512,672
DC,1957,28544,14923,13621,658
DC,1958,28427,14906,13521,668
DC,1959,27986,14835,13151,697
DC,1960,28093,14888,13205,727
DC,1961,28068,14849,13219,726
DC,1962,27539,14469,13070,732
DC,1963,27504,14673,12831,750
DC,1964,26572,14108,12464,723
DC,1965,24630,12931,11699,704
DC,1966,23530,12523,11007,690
DC,1967,22859,12267,10592,690
DC,1968,21947,11868,10079,681
DC,1969,22170,11973,10197,721
DC,1970,22095,12122,9973,701
DC,1971,19588,10793,8795,693
DC,1972,16746,9342,7404,657
DC,1973,14738,8347,6391,629
DC,1974,13780,7926,5854,594
DC,1975,13574,7679,5895,606
DC,1976,13478,7660,5818,590
DC,1977,13952,7909,6043,639
DC,1978,13196,7666,5530,608
DC,1979,13457,7900,5557,607
DC,1980,13511,7892,5619,605
DC,1981,13715,7943,5772,618
DC,1982,13486,7748,5738,583
DC,1983,13280,7558,5722,572
DC,1984,13227,7558,5669,601
DC,1985,13400,7712,5688,613
DC,1986,13129,7492,5637,608
DC,1987,13690,8008,5682,630
DC,1988,14482,8292,6190,680
DC,1989,14671,13136,1535,637
DC,1990,13925,9278,4647,642
DC,1991,13747,7897,5850,713
DC,1992,12753,7486,5267,678
DC,1993,11900,6868,5032,651
DC,1994,10933,6298,4635,632
DC,1995,9556,5528,4028,577
DC,1996,8565,4993,3572,533
DC,1997,8437,4977,3460,539
DC,1998,8450,4936,3514,543
DC,1999,8114,4688,3426,530
DC,2000,8411,4868,3543,579
DC,2001,8240,4622,3618,558
DC,2002,8187,4699,3488,536
DC,2003,8012,4641,3371,537
DC,2004,8139,4628,3511,555
DC,2005,7515,4383,3132,503
DC,2006,7965,4672,3293,565
DC,2007,7863,4561,3302,559
DC,2008,7433,4237,3196,547
DC,2009,7242,4245,2997,523
DC,2010,6873,3901,2972,518
DC,2011,6978,4044,2934,513
DC,2012,7312,4129,3183,546
DC,2013,7620,4293,3327,558
DC,2014,7664,4204,3460,565
DC,2015,7919,4370,3549,585
DC,2016,8029,4471,3558,589
DC,2017,7723,4278,3445,568
