state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
AK,1910,115,47,68,16
AK,1911,84,40,44,11
AK,1912,141,59,82,20
AK,1913,110,50,60,12
AK,1914,245,130,115,32
AK,1915,325,174,151,40
AK,1916,320,172,148,40
AK,1917,276,162,114,33
AK,1918,342,187,155,40
AK,1919,414,206,208,48
AK,1920,434,205,229,48
AK,1921,405,229,176,46
AK,1922,418,254,164,48
AK,1923,457,248,209,52
AK,1924,442,259,183,46
AK,1925,394,181,213,48
AK,1926,409,189,220,44
AK,1927,447,232,215,55
AK,1928,475,258,217,55
AK,1929,390,218,172,48
AK,1930,516,298,218,60
AK,1931,403,239,164,44
AK,1932,498,271,227,57
AK,1933,527,273,254,58
AK,1934,504,295,209,58
AK,1935,442,234,208,53
AK,1936,625,353,272,68
AK,1937,582,314,268,65
AK,1938,645,365,280,76
AK,1939,612,335,277,68
AK,1940,806,437,369,87
AK,1941,914,517,397,87
AK,1942,854,449,405,85
AK,1943,914,494,420,87
AK,1944,1005,575,430,100
AK,1945,919,471,448,91
AK,1946,1271,695,576,120
AK,1947,1698,910,788,139
AK,1948,2093,1159,934,160
AK,1949,2334,1296,1038,168
AK,1950,2562,1379,1183,187
AK,1951,3081,1757,1324,197
AK,1952,4186,2355,1831,247
AK,1953,5006,2721,2285,276
AK,1954,5448,2987,2461,285
AK,1955,5705,3114,2591,311
AK,1956,5871,3173,2698,309
AK,1957,6187,3431,2756,342
AK,1958,5656,3145,2511,335
AK,1959,5462,2903,2559,319
AK,1960,5818,3208,2610,343
AK,1961,5811,3117,2694,347
AK,1962,5874,3176,2698,350
AK,1963,5929,3226,2703,357
AK,1964,5638,3119,2519,345
AK,1965,5264,2977,2287,328
AK,1966,4988,2838,2150,321
AK,1967,4755,2648,2107,300
AK,1968,4846,2730,2116,300
AK,1969,5318,2913,2405,328
AK,1970,5848,3177,2671,348
AK,1971,5642,3187,2455,337
AK,1972,4790,2694,2096,317
AK,1973,4430,2456,1974,285
AK,1974,4583,2677,1906,284
AK,1975,4971,2811,2160,302
AK,1976,5192,2992,2200,301
AK,1977,5552,3132,2420,325
AK,1978,5829,3338,2491,323
AK,1979,6215,3535,2680,350
AK,1980,6515,3673,2842,358
AK,1981,6957,4018,2939,374
AK,1982,7914,4490,3424,405
AK,1983,8505,4707,3798,412
AK,1984,8961,4998,3963,429
AK,1985,9029,5045,3984,429
AK,1986,8474,4759,3715,418
AK,1987,8017,4442,3575,420
AK,1988,7588,4317,3271,396
AK,1989,7886,4354,3532,427
AK,1990,7841,4415,3426,402
AK,1991,7743,4393,3350,435
AK,1992,7535,4295,3240,402
AK,1993,6987,3964,3023,400
AK,1994,6540,3760,2780,392
AK,1995,6214,3596,2618,384
AK,1996,6070,3558,2512,381
AK,1997,5888,3356,2532,386
AK,1998,5905,3318,2587,401
AK,1999,5748,3391,2357,399
AK,2000,5607,3321,2286,393
AK,2001,5627,3292,2335,405
AK,2002,5480,3198,2282,394
AK,2003,5443,3217,2226,409
AK,2004,5596,3277,2319,407
AK,2005,5619,3321,2298,424
AK,2006,5734,3346,2388,433
AK,2007,5809,3461,2348,423
AK,2008,5954,3511,2443,458
AK,2009,5809,3474,2335,442
AK,2010,5861,3448,2413,462
AK,2011,5930,3408,2522,470
AK,2012,5664,3362,2302,463
AK,2013,5938,3496,2442,475
AK,2014,6117,3518,2599,493
AK,2015,5843,3410,2433,475
AK,2016,5695,3285,2410,465
AK,2017,5270,3023,2247,446
AK,2018,4974,2930,2044,431
AK,2019,4902,2908,1994,427
AK,2020,4438,2533,1905,405
AK,2021,4351,2551,1800,383
AK,2022,4259,2427,1832,388
AK,2023,3853,2282,1571,366
