state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
DE,1910,690,201,489,61
DE,1911,796,270,526,65
DE,1912,1361,597,764,100
DE,1913,1532,720,812,107
DE,1914,2065,891,1174,130
DE,1915,2858,1260,1598,161
DE,1916,3050,1432,1618,168
DE,1917,3227,1435,1792,167
DE,1918,3705,1608,2097,185
DE,1919,3685,1610,2075,179
DE,1920,3744,1757,1987,191
DE,1921,3562,1660,1902,183
DE,1922,3481,1640,1841,181
DE,1923,3277,1518,1759,168
DE,1924,3143,1508,1635,169
DE,1925,3004,1472,1532,167
DE,1926,2990,1499,1491,156
DE,1927,3001,1432,1569,166
DE,1928,2991,1477,1514,165
DE,1929,2875,1389,1486,150
DE,1930,3103,1574,1529,166
DE,1931,2888,1461,1427,151
DE,1932,2929,1455,1474,157
DE,1933,2713,1390,1323,148
DE,1934,2790,1407,1383,149
DE,1935,2865,1435,1430,157
DE,1936,2734,1415,1319,158
DE,1937,3090,1652,1438,170
DE,1938,3186,1670,1516,175
DE,1939,3200,1650,1550,172
DE,1940,3418,1823,1595,174
DE,1941,3915,1938,1977,199
DE,1942,4366,2260,2106,205
DE,1943,4885,2572,2313,229
DE,1944,4663,2440,2223,226
DE,1945,4636,2456,2180,217
DE,1946,5592,2871,2721,239
DE,1947,6444,3282,3162,262
DE,1948,5937,3095,2842,242
DE,1949,6161,3237,2924,263
DE,1950,6371,3349,3022,273
DE,1951,6809,3655,3154,280
DE,1952,7294,3823,3471,293
DE,1953,7718,4073,3645,295
DE,1954,8167,4247,3920,313
DE,1955,8931,4749,4182,333
DE,1956,9454,4999,4455,346
DE,1957,10064,5252,4812,366
DE,1958,9764,5180,4584,356
DE,1959,9810,5191,4619,376
DE,1960,9651,5094,4557,380
DE,1961,9817,5220,4597,385
DE,1962,9327,4959,4368,360
DE,1963,9456,5054,4402,383
DE,1964,9259,4963,4296,372
DE,1965,8514,4558,3956,358
DE,1966,8079,4336,3743,331
DE,1967,7873,4179,3694,327
DE,1968,7821,4226,3595,352
DE,1969,8005,4362,3643,358
DE,1970,8238,4474,3764,350
DE,1971,7714,4249,3465,348
DE,1972,6749,3681,3068,325
DE,1973,6063,3366,2697,286
DE,1974,6114,3379,2735,297
DE,1975,6028,3306,2722,301
DE,1976,5854,3271,2583,288
DE,1977,6184,3396,2788,301
DE,1978,6337,3558,2779,306
DE,1979,6475,3714,2761,314
DE,1980,6844,3790,3054,321
DE,1981,6799,3796,3003,303
DE,1982,6886,3906,2980,312
DE,1983,6810,3892,2918,295
DE,1984,6938,3903,3035,301
DE,1985,7088,4026,3062,305
DE,1986,7146,3970,3176,303
DE,1987,7544,4121,3423,320
DE,1988,7923,4421,3502,342
DE,1989,8384,4695,3689,342
DE,1990,8619,4913,3706,344
DE,1991,8417,4684,3733,371
DE,1992,7978,4410,3568,369
DE,1993,7565,4228,3337,337
DE,1994,7519,4165,3354,349
DE,1995,7202,4014,3188,364
DE,1996,6999,3835,3164,364
DE,1997,6949,3918,3031,353
DE,1998,7021,3877,3144,368
DE,1999,7110,4003,3107,387
DE,2000,7259,4218,3041,393
DE,2001,6909,3886,3023,405
DE,2002,7134,4094,3040,429
DE,2003,7323,4134,3189,425
DE,2004,7184,4105,3079,422
DE,2005,7164,4063,3101,439
DE,2006,7092,3953,3139,459
DE,2007,7100,4101,2999,456
DE,2008,6835,3948,2887,445
DE,2009,6518,3775,2743,443
DE,2010,6295,3622,2673,438
DE,2011,6408,3651,2757,452
DE,2012,6205,3549,2656,441
DE,2013,6090,3522,2568,450
DE,2014,6425,3613,2812,477
DE,2015,6246,3493,2753,460
DE,2016,6172,3542,2630,463
DE,2017,5946,3432,2514,465
DE,2018,5701,3218,2483,458
DE,2019,5633,3229,2404,452
DE,2020,5427,3090,2337,461
DE,2021,5557,3199,2358,468
DE,2022,5573,3193,2380,467
DE,2023,4942,2769,2173,429
