state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
UT,1910,1494,443,1051,130
UT,1911,1760,538,1222,151
UT,1912,3339,1527,1812,237
UT,1913,4069,2004,2065,282
UT,1914,5401,2735,2666,320
UT,1915,7700,3668,4032,401
UT,1916,8413,3956,4457,426
UT,1917,8681,4039,4642,424
UT,1918,9954,4702,5252,454
UT,1919,8871,4168,4703,425
UT,1920,9770,4680,5090,437
UT,1921,10143,5019,5124,453
UT,1922,9579,4610,4969,440
UT,1923,9905,4833,5072,444
UT,1924,10023,4976,5047,439
UT,1925,10035,5064,4971,435
UT,1926,9630,4804,4826,433
UT,1927,9550,4868,4682,427
UT,1928,9427,4861,4566,436
UT,1929,9170,4637,4533,422
UT,1930,9719,4937,4782,431
UT,1931,9082,4731,4351,425
UT,1932,8936,4629,4307,408
UT,1933,9002,4603,4399,432
UT,1934,9150,4743,4407,411
UT,1935,9634,4984,4650,438
UT,1936,9401,4842,4559,424
UT,1937,9646,5113,4533,425
UT,1938,10051,5269,4782,452
UT,1939,10050,5292,4758,425
UT,1940,10543,5537,5006,438
UT,1941,10896,5829,5067,444
UT,1942,12988,6968,6020,488
UT,1943,14652,7755,6897,508
UT,1944,13757,7155,6602,483
UT,1945,13330,7107,6223,481
UT,1946,15423,8158,7265,507
UT,1947,18526,9879,8647,565
UT,1948,17687,9390,8297,565
UT,1949,17854,9627,8227,560
UT,1950,18125,9606,8519,568
UT,1951,19907,10674,9233,611
UT,1952,20628,11046,9582,614
UT,1953,21189,11374,9815,623
UT,1954,21361,11372,9989,622
UT,1955,21896,11664,10232,658
UT,1956,22554,12014,10540,676
UT,1957,22812,12290,10522,703
UT,1958,22023,11703,10320,685
UT,1959,22165,11858,10307,683
UT,1960,22809,12141,10668,701
UT,1961,22766,12171,10595,713
UT,1962,22614,12061,10553,710
UT,1963,21280,11347,9933,697
UT,1964,20281,10874,9407,669
UT,1965,18747,10116,8631,655
UT,1966,19157,10336,8821,659
UT,1967,19342,10392,8950,656
UT,1968,19487,10457,9030,648
UT,1969,20447,11053,9394,666
UT,1970,22843,12334,10509,714
UT,1971,23302,12513,10789,733
UT,1972,22661,12126,10535,721
UT,1973,23590,12743,10847,748
UT,1974,25385,13666,11719,782
UT,1975,26800,14454,12346,801
UT,1976,30218,16395,13823,842
UT,1977,32244,17547,14697,865
UT,1978,33036,17870,15166,882
UT,1979,35085,19014,16071,907
UT,1980,35777,19320,16457,935
UT,1981,35152,19016,16136,934
UT,1982,35607,19206,16401,945
UT,1983,33634,18220,15414,898
UT,1984,32550,17617,14933,891
UT,1985,31367,17023,14344,881
UT,1986,30486,16518,13968,904
UT,1987,29244,15849,13395,881
UT,1988,29836,16258,13578,931
UT,1989,30007,16566,13441,945
UT,1990,30204,16654,13550,939
UT,1991,29835,16546,13289,962
UT,1992,30491,16685,13806,998
UT,1993,30405,16878,13527,999
UT,1994,31308,17408,13900,1036
UT,1995,32334,17535,14799,1058
UT,1996,34165,18937,15228,1110
UT,1997,34705,19122,15583,1165
UT,1998,36209,19692,16517,1199
UT,1999,37213,20607,16606,1260
UT,2000,37984,20943,17041,1280
UT,2001,38544,21203,17341,1360
UT,2002,39063,21468,17595,1356
UT,2003,39720,21661,18059,1392
UT,2004,40257,21998,18259,1445
UT,2005,40778,22381,18397,1464
UT,2006,42152,23287,18865,1545
UT,2007,43405,23791,19614,1612
UT,2008,43476,23707,19769,1645
UT,2009,42017,22979,19038,1651
UT,2010,40223,22066,18157,1586
UT,2011,39337,21387,17950,1565
UT,2012,39538,21655,17883,1597
UT,2013,39243,21587,17656,1571
UT,2014,39621,21520,18101,1634
UT,2015,39042,21239,17803,1572
UT,2016,39011,20972,18039,1574
UT,2017,37346,20316,17030,1544
UT,2018,36161,19486,16675,1517
UT,2019,36125,19344,16781,1540
UT,2020,35361,19269,16092,1496
UT,2021,36078,19178,16900,1539
UT,2022,35001,18915,16086,1503
UT,2023,34323,18241,16082,1453
