state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
CA,1910,9163,3213,5950,360
CA,1911,9983,3381,6602,391
CA,1912,17946,8142,9804,554
CA,1913,22094,10234,11860,609
CA,1914,26926,13111,13815,701
CA,1915,35835,17192,18643,824
CA,1916,37501,17946,19555,857
CA,1917,39916,19052,20864,882
CA,1918,44692,21640,23052,942
CA,1919,45119,21831,23288,961
CA,1920,54142,26006,28136,1069
CA,1921,58984,28506,30478,1101
CA,1922,61002,30085,30917,1100
CA,1923,67917,33794,34123,1194
CA,1924,74449,36559,37890,1247
CA,1925,73493,36580,36913,1246
CA,1926,72908,36779,36129,1240
CA,1927,74205,37422,36783,1236
CA,1928,74265,37514,36751,1237
CA,1929,72100,36369,35731,1213
CA,1930,75295,38050,37245,1222
CA,1931,71469,36367,35102,1135
CA,1932,69524,35294,34230,1118
CA,1933,66895,34000,32895,1094
CA,1934,69789,35581,34208,1119
CA,1935,71607,36688,34919,1131
CA,1936,74932,38116,36816,1154
CA,1937,83737,43147,40590,1220
CA,1938,91629,47108,44521,1270
CA,1939,93464,47849,45615,1274
CA,1940,102625,52703,49922,1335
CA,1941,114308,58564,55744,1374
CA,1942,142039,73020,69019,1522
CA,1943,159816,81840,77976,1638
CA,1944,164354,84518,79836,1622
CA,1945,171770,88263,83507,1684
CA,1946,204940,105652,99288,1824
CA,1947,232314,119427,112887,1962
CA,1948,229039,117619,111420,1971
CA,1949,233628,120408,113220,1984
CA,1950,235575,122037,113538,1990
CA,1951,250472,129549,120923,2007
CA,1952,271677,140325,131352,2131
CA,1953,287484,148633,138851,2242
CA,1954,297096,153616,143480,2276
CA,1955,304569,158406,146163,2348
CA,1956,324178,167753,156425,2449
CA,1957,340049,176078,163971,2521
CA,1958,337695,174718,162977,2548
CA,1959,345897,179563,166334,2641
CA,1960,358512,185873,172639,2751
CA,1961,364021,188935,175086,2830
CA,1962,360453,187000,173453,2805
CA,1963,361871,187755,174116,2837
CA,1964,355388,183506,171882,2903
CA,1965,336561,174895,161666,2902
CA,1966,319417,165680,153737,2836
CA,1967,318820,165886,152934,2919
CA,1968,321023,167217,153806,3009
CA,1969,333655,173800,159855,3160
CA,1970,342396,178373,164023,3322
CA,1971,310003,161603,148400,3282
CA,1972,287219,150150,137069,3199
CA,1973,275041,144253,130788,3193
CA,1974,286943,150326,136617,3299
CA,1975,290522,152067,138455,3415
CA,1976,302545,158674,143871,3527
CA,1977,315003,165433,149570,3637
CA,1978,322243,168919,153324,3686
CA,1979,343055,179733,163322,3896
CA,1980,365964,192264,173700,4034
CA,1981,382163,200880,181283,4170
CA,1982,390563,204834,185729,4244
CA,1983,394613,206904,187709,4245
CA,1984,404965,212373,192592,4323
CA,1985,425610,223368,202242,4538
CA,1986,435977,228293,207684,4742
CA,1987,453841,238745,215096,4820
CA,1988,480636,252218,228418,5169
CA,1989,512613,268628,243985,5496
CA,1990,552669,290247,262422,5819
CA,1991,549339,287842,261497,5772
CA,1992,541091,284303,256788,5841
CA,1993,524993,275421,249572,5836
CA,1994,509327,266843,242484,5793
CA,1995,494644,260063,234581,5709
CA,1996,483301,253536,229765,5667
CA,1997,468420,245582,222838,5639
CA,1998,464305,243308,220997,5653
CA,1999,460846,241796,219050,5740
CA,2000,471665,247854,223811,6002
CA,2001,466947,244676,222271,6047
CA,2002,467761,245045,222716,6108
CA,2003,477672,251026,226646,6248
CA,2004,480920,252108,228812,6417
CA,2005,484533,254137,230396,6579
CA,2006,495026,260278,234748,6775
CA,2007,497657,261438,236219,6939
CA,2008,483411,254125,229286,6867
CA,2009,460351,242096,218255,6834
CA,2010,444676,233727,210949,6730
CA,2011,437902,230308,207594,6597
CA,2012,439480,230447,209033,6730
CA,2013,432032,226956,205076,6567
CA,2014,440780,231210,209570,6646
CA,2015,431425,226185,205240,6552
CA,2016,427174,223565,203609,6445
CA,2017,411217,215586,195631,6362
CA,2018,395661,206346,189315,6225
CA,2019,387325,202941,184384,6176
CA,2020,363307,189341,173966,6063
CA,2021,363206,189016,174190,6184
CA,2022,361960,188607,173353,6219
CA,2023,342550,178705,163845,6038
