state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
WY,1910,309,123,186,37
WY,1911,381,137,244,42
WY,1912,644,327,317,63
WY,1913,878,427,451,87
WY,1914,1156,558,598,95
WY,1915,1846,923,923,144
WY,1916,2120,1024,1096,159
WY,1917,2481,1209,1272,182
WY,1918,2945,1361,1584,196
WY,1919,2802,1395,1407,187
WY,1920,3205,1608,1597,205
WY,1921,3515,1674,1841,219
WY,1922,3409,1721,1688,224
WY,1923,3383,1635,1748,203
WY,1924,3492,1729,1763,205
WY,1925,3319,1671,1648,206
WY,1926,2993,1480,1513,188
WY,1927,3052,1577,1475,201
WY,1928,3053,1607,1446,199
WY,1929,3050,1582,1468,192
WY,1930,3086,1574,1512,200
WY,1931,3049,1557,1492,203
WY,1932,2846,1456,1390,192
WY,1933,2819,1483,1336,191
WY,1934,2965,1535,1430,200
WY,1935,3022,1580,1442,202
WY,1936,3195,1661,1534,209
WY,1937,3129,1666,1463,206
WY,1938,3392,1814,1578,206
WY,1939,3429,1869,1560,216
WY,1940,3520,1864,1656,219
WY,1941,3618,1924,1694,215
WY,1942,3815,2068,1747,221
WY,1943,4061,2151,1910,235
WY,1944,4036,2155,1881,228
WY,1945,3768,2061,1707,218
WY,1946,4392,2378,2014,242
WY,1947,5336,2828,2508,260
WY,1948,5415,2830,2585,271
WY,1949,5542,2995,2547,275
WY,1950,5631,2984,2647,280
WY,1951,6123,3348,2775,305
WY,1952,6365,3436,2929,300
WY,1953,6754,3645,3109,317
WY,1954,6772,3591,3181,333
WY,1955,6517,3490,3027,341
WY,1956,6447,3511,2936,333
WY,1957,6269,3408,2861,328
WY,1958,6002,3272,2730,320
WY,1959,6119,3322,2797,338
WY,1960,6297,3392,2905,341
WY,1961,6426,3502,2924,347
WY,1962,5837,3273,2564,342
WY,1963,5492,2987,2505,321
WY,1964,5171,2829,2342,319
WY,1965,4565,2546,2019,294
WY,1966,3899,2184,1715,250
WY,1967,3717,2099,1618,256
WY,1968,3859,2197,1662,250
WY,1969,3983,2309,1674,270
WY,1970,4479,2521,1958,298
WY,1971,4075,2336,1739,260
WY,1972,3910,2173,1737,251
WY,1973,3937,2262,1675,256
WY,1974,4229,2429,1800,254
WY,1975,4387,2480,1907,262
WY,1976,4751,2663,2088,280
WY,1977,5418,3045,2373,308
WY,1978,5679,3238,2441,296
WY,1979,6436,3575,2861,331
WY,1980,7147,3933,3214,355
WY,1981,7321,4030,3291,352
WY,1982,7401,4061,3340,351
WY,1983,6943,3900,3043,330
WY,1984,6591,3672,2919,320
WY,1985,6218,3460,2758,318
WY,1986,5501,3114,2387,286
WY,1987,4635,2625,2010,253
WY,1988,4399,2550,1849,252
WY,1989,4234,2427,1807,262
WY,1990,4088,2403,1685,246
WY,1991,4045,2350,1695,274
WY,1992,3883,2286,1597,266
WY,1993,3726,2184,1542,255
WY,1994,3557,2077,1480,249
WY,1995,3418,1982,1436,254
WY,1996,3359,2012,1347,260
WY,1997,3282,1978,1304,258
WY,1998,3236,1926,1310,261
WY,1999,3065,1867,1198,249
WY,2000,3008,1745,1263,247
WY,2001,2894,1799,1095,238
WY,2002,3069,1831,1238,273
WY,2003,3179,2005,1174,278
WY,2004,3084,1816,1268,269
WY,2005,3380,2062,1318,296
WY,2006,3513,2186,1327,302
WY,2007,3612,2119,1493,324
WY,2008,3540,2123,1417,318
WY,2009,3362,2062,1300,311
WY,2010,3170,1904,1266,303
WY,2011,2997,1850,1147,283
WY,2012,3054,1907,1147,278
WY,2013,3204,1969,1235,315
WY,2014,3191,1970,1221,310
WY,2015,3271,2015,1256,315
WY,2016,2882,1738,1144,279
WY,2017,2543,1505,1038,250
