state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
MO,1910,15909,4980,10929,511
MO,1911,16757,5321,11436,508
MO,1912,26405,11174,15231,676
MO,1913,30944,13955,16989,725
MO,1914,36327,17099,19228,808
MO,1915,50127,23706,26421,962
MO,1916,53451,24606,28845,984
MO,1917,53026,24459,28567,995
MO,1918,57499,26764,30735,1004
MO,1919,54317,25357,28960,986
MO,1920,58515,27855,30660,1013
MO,1921,61625,29353,32272,1029
MO,1922,58749,28169,30580,1010
MO,1923,60268,29190,31078,996
MO,1924,62597,30449,32148,1029
MO,1925,60934,29652,31282,985
MO,1926,59748,29492,30256,946
MO,1927,59273,29098,30175,959
MO,1928,56518,27880,28638,916
MO,1929,54864,27194,27670,900
MO,1930,56108,28172,27936,883
MO,1931,54140,27161,26979,855
MO,1932,55287,27639,27648,879
MO,1933,52944,26723,26221,867
MO,1934,54495,27468,27027,885
MO,1935,53147,26803,26344,859
MO,1936,52023,26195,25828,846
MO,1937,52516,26579,25937,853
MO,1938,54627,27794,26833,869
MO,1939,54758,27942,26816,876
MO,1940,57165,29200,27965,865
MO,1941,60825,31012,29813,883
MO,1942,66062,33709,32353,933
MO,1943,67568,34665,32903,916
MO,1944,63181,32459,30722,883
MO,1945,61538,31645,29893,861
MO,1946,75648,38968,36680,958
MO,1947,84739,43697,41042,994
MO,1948,79807,40916,38891,973
MO,1949,80187,41443,38744,991
MO,1950,81039,41676,39363,1002
MO,1951,85407,44261,41146,1025
MO,1952,85731,44400,41331,1016
MO,1953,87227,45317,41910,1056
MO,1954,90210,46798,43412,1105
MO,1955,90563,47042,43521,1109
MO,1956,92926,48136,44790,1128
MO,1957,93828,48657,45171,1176
MO,1958,93131,48601,44530,1156
MO,1959,94219,49240,44979,1185
MO,1960,93624,48870,44754,1187
MO,1961,92700,48403,44297,1184
MO,1962,89071,46476,42595,1173
MO,1963,85655,44589,41066,1172
MO,1964,82621,43102,39519,1158
MO,1965,76229,39804,36425,1112
MO,1966,72899,38326,34573,1110
MO,1967,70116,36602,33514,1111
MO,1968,69432,36546,32886,1108
MO,1969,72840,38550,34290,1131
MO,1970,75056,39596,35460,1177
MO,1971,72436,38242,34194,1214
MO,1972,66423,35144,31279,1193
MO,1973,62146,32989,29157,1145
MO,1974,63396,33726,29670,1188
MO,1975,62018,32893,29125,1165
MO,1976,62505,33003,29502,1167
MO,1977,66125,35145,30980,1229
MO,1978,65613,34962,30651,1220
MO,1979,69022,36738,32284,1232
MO,1980,70775,37359,33416,1241
MO,1981,68702,36622,32080,1205
MO,1982,68947,36760,32187,1233
MO,1983,67759,35838,31921,1183
MO,1984,67002,35647,31355,1174
MO,1985,69084,36898,32186,1213
MO,1986,67370,35968,31402,1220
MO,1987,66983,35740,31243,1225
MO,1988,68172,36504,31668,1283
MO,1989,70270,37740,32530,1361
MO,1990,70814,37966,32848,1406
MO,1991,69742,37265,32477,1423
MO,1992,67209,36288,30921,1410
MO,1993,66205,35677,30528,1437
MO,1994,64386,34718,29668,1387
MO,1995,63878,34290,29588,1435
MO,1996,64047,34498,29549,1465
MO,1997,63918,34401,29517,1511
MO,1998,64316,34631,29685,1556
MO,1999,63401,34139,29262,1538
MO,2000,63798,34370,29428,1607
MO,2001,62048,33423,28625,1617
MO,2002,61226,33313,27913,1639
MO,2003,62174,33715,28459,1715
MO,2004,62278,33911,28367,1713
MO,2005,63012,34011,29001,1839
MO,2006,64630,34943,29687,1899
MO,2007,64646,35019,29627,1943
MO,2008,63923,34501,29422,1978
MO,2009,61427,33437,27990,1951
MO,2010,59967,32645,27322,1944
MO,2011,59393,32361,27032,1946
MO,2012,58635,31736,26899,1928
MO,2013,58732,31732,27000,1916
MO,2014,59421,32327,27094,2021
MO,2015,58738,31570,27168,1974
MO,2016,58678,31575,27103,2033
MO,2017,56507,30558,25949,1980
MO,2018,56752,30300,26452,2025
MO,2019,55275,29714,25561,1990
MO,2020,52875,28454,24421,1967
MO,2021,53154,28482,24672,1978
MO,2022,52017,27877,24140,1997
MO,2023,49873,26614,23259,1932
