state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
MI,1910,12071,3396,8675,423
MI,1911,12959,3557,9402,438
MI,1912,22002,8905,13097,566
MI,1913,27469,11764,15705,642
MI,1914,33738,15379,18359,709
MI,1915,52002,24181,27821,879
MI,1916,59843,27575,32268,960
MI,1917,63519,29348,34171,986
MI,1918,69426,32777,36649,1006
MI,1919,62936,29063,33873,934
MI,1920,71494,33737,37757,995
MI,1921,74809,35480,39329,1028
MI,1922,71658,34656,37002,977
MI,1923,74476,36069,38407,1015
MI,1924,79754,38912,40842,1027
MI,1925,80334,39409,40925,1004
MI,1926,81877,40933,40944,1016
MI,1927,83833,41964,41869,1033
MI,1928,82967,41791,41176,1043
MI,1929,84160,42131,42029,1005
MI,1930,84438,42386,42052,998
MI,1931,77450,38936,38514,942
MI,1932,74290,37593,36697,932
MI,1933,70365,35606,34759,908
MI,1934,73921,37319,36602,915
MI,1935,77347,39352,37995,916
MI,1936,78588,39826,38762,929
MI,1937,81657,41788,39869,970
MI,1938,86560,44294,42266,995
MI,1939,85070,43584,41486,964
MI,1940,89740,46020,43720,1000
MI,1941,97713,49854,47859,1026
MI,1942,113623,57896,55727,1117
MI,1943,114972,58616,56356,1123
MI,1944,103947,53344,50603,1083
MI,1945,102486,52627,49859,1055
MI,1946,127877,65782,62095,1169
MI,1947,148945,76235,72710,1300
MI,1948,142918,73402,69516,1254
MI,1949,146594,75909,70685,1301
MI,1950,150958,77757,73201,1297
MI,1951,162737,84252,78485,1340
MI,1952,167421,86624,80797,1378
MI,1953,172120,89136,82984,1410
MI,1954,181224,93564,87660,1485
MI,1955,185334,95858,89476,1545
MI,1956,194005,100021,93984,1596
MI,1957,196536,101435,95101,1604
MI,1958,190671,98728,91943,1591
MI,1959,186554,96452,90102,1574
MI,1960,182732,94428,88304,1581
MI,1961,179959,93116,86843,1606
MI,1962,170444,88360,82084,1552
MI,1963,166092,86041,80051,1538
MI,1964,162393,84251,78142,1541
MI,1965,153618,79820,73798,1518
MI,1966,152627,79121,73506,1556
MI,1967,149041,77786,71255,1577
MI,1968,145665,76226,69439,1578
MI,1969,149911,78192,71719,1673
MI,1970,155468,81384,74084,1782
MI,1971,145533,76524,69009,1774
MI,1972,130810,68925,61885,1731
MI,1973,124650,65762,58888,1752
MI,1974,121167,64151,57016,1721
MI,1975,117591,61883,55708,1722
MI,1976,115543,61131,54412,1714
MI,1977,121448,64341,57107,1781
MI,1978,121793,64254,57539,1763
MI,1979,126626,67052,59574,1814
MI,1980,127619,67347,60272,1781
MI,1981,124271,65618,58653,1766
MI,1982,122507,64903,57604,1722
MI,1983,117780,62549,55231,1659
MI,1984,120051,63708,56343,1718
MI,1985,122372,65131,57241,1742
MI,1986,120317,63799,56518,1790
MI,1987,122575,64612,57963,1829
MI,1988,122059,64637,57422,1876
MI,1989,129864,69427,60437,2014
MI,1990,133444,70988,62456,2154
MI,1991,129052,68671,60381,2171
MI,1992,122920,65860,57060,2167
MI,1993,119102,63701,55401,2102
MI,1994,116617,62414,54203,2164
MI,1995,113099,60494,52605,2083
MI,1996,111608,59574,52034,2147
MI,1997,111217,59282,51935,2212
MI,1998,111157,59657,51500,2324
MI,1999,110057,58803,51254,2364
MI,2000,111245,59237,52008,2409
MI,2001,108258,58379,49879,2427
MI,2002,104798,56078,48720,2422
MI,2003,105639,56621,49018,2534
MI,2004,104235,56055,48180,2512
MI,2005,101956,54654,47302,2532
MI,2006,101222,54116,47106,2602
MI,2007,98960,53346,45614,2580
MI,2008,95634,51261,44373,2642
MI,2009,91881,49253,42628,2641
MI,2010,89525,48048,41477,2590
MI,2011,89424,48136,41288,2555
MI,2012,88477,47439,41038,2510
MI,2013,89236,47779,41457,2548
MI,2014,90591,48625,41966,2582
MI,2015,89442,47502,41940,2608
MI,2016,89113,47388,41725,2665
MI,2017,86300,45667,40633,2625
