state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
NM,1910,1607,695,912,139
NM,1911,1705,681,1024,154
NM,1912,2724,1172,1552,220
NM,1913,2920,1344,1576,228
NM,1914,3691,1841,1850,267
NM,1915,5311,2722,2589,348
NM,1916,5716,2719,2997,351
NM,1917,6216,3022,3194,400
NM,1918,7100,3368,3732,408
NM,1919,6426,3182,3244,390
NM,1920,7470,3671,3799,417
NM,1921,8106,3820,4286,441
NM,1922,8311,4043,4268,460
NM,1923,8114,4009,4105,455
NM,1924,8259,3986,4273,454
NM,1925,8268,3892,4376,463
NM,1926,7669,3717,3952,433
NM,1927,8370,4183,4187,474
NM,1928,8715,4431,4284,477
NM,1929,8395,4275,4120,465
NM,1930,9061,4499,4562,480
NM,1931,9059,4548,4511,478
NM,1932,9484,4757,4727,502
NM,1933,9081,4601,4480,493
NM,1934,9707,4774,4933,501
NM,1935,10030,4879,5151,496
NM,1936,10004,5145,4859,495
NM,1937,10879,5510,5369,533
NM,1938,11221,5674,5547,538
NM,1939,11074,5520,5554,514
NM,1940,11829,5961,5868,543
NM,1941,11884,6021,5863,523
NM,1942,11900,6061,5839,536
NM,1943,12559,6420,6139,531
NM,1944,13155,6817,6338,534
NM,1945,12708,6573,6135,528
NM,1946,14957,7655,7302,561
NM,1947,17169,8976,8193,600
NM,1948,17447,8989,8458,604
NM,1949,18296,9628,8668,620
NM,1950,18946,9895,9051,638
NM,1951,19820,10262,9558,654
NM,1952,21063,11064,9999,676
NM,1953,21730,11432,10298,684
NM,1954,22276,11617,10659,689
NM,1955,22526,11745,10781,718
NM,1956,23130,12153,10977,714
NM,1957,24009,12535,11474,747
NM,1958,24339,12830,11509,756
NM,1959,25332,13322,12010,772
NM,1960,26079,13720,12359,811
NM,1961,25252,13297,11955,786
NM,1962,24800,13269,11531,809
NM,1963,23188,12176,11012,773
NM,1964,22307,11726,10581,762
NM,1965,20524,10832,9692,760
NM,1966,18393,9700,8693,720
NM,1967,17109,9022,8087,675
NM,1968,16458,8801,7657,694
NM,1969,17342,9293,8049,714
NM,1970,17795,9580,8215,722
NM,1971,18025,9628,8397,760
NM,1972,16469,8832,7637,705
NM,1973,16253,8804,7449,696
NM,1974,16834,9080,7754,727
NM,1975,16456,8790,7666,737
NM,1976,17057,9392,7665,742
NM,1977,17533,9478,8055,735
NM,1978,18298,10106,8192,754
NM,1979,18917,10248,8669,787
NM,1980,20616,11287,9329,797
NM,1981,20477,11160,9317,802
NM,1982,21276,11583,9693,796
NM,1983,21135,11682,9453,784
NM,1984,21201,11386,9815,825
NM,1985,21217,11614,9603,803
NM,1986,20832,11357,9475,808
NM,1987,20901,11389,9512,803
NM,1988,20759,11433,9326,810
NM,1989,20775,11627,9148,814
NM,1990,20702,11418,9284,843
NM,1991,20865,11488,9377,858
NM,1992,20868,11598,9270,857
NM,1993,20701,11443,9258,852
NM,1994,19967,11142,8825,837
NM,1995,19297,10746,8551,814
NM,1996,19496,10794,8702,836
NM,1997,18933,10659,8274,839
NM,1998,19257,10792,8465,866
NM,1999,18897,10789,8108,816
NM,2000,18796,10642,8154,860
NM,2001,18579,10551,8028,860
NM,2002,18943,10617,8326,912
NM,2003,18711,10593,8118,907
NM,2004,19033,10879,8154,928
NM,2005,19231,10903,8328,932
NM,2006,19792,11365,8427,970
NM,2007,19986,11468,8518,1002
NM,2008,19625,11161,8464,1002
NM,2009,18605,10592,8013,1005
NM,2010,17460,10017,7443,961
NM,2011,16851,9539,7312,933
NM,2012,16780,9696,7084,951
NM,2013,15964,9220,6744,916
NM,2014,15978,9081,6897,932
NM,2015,15402,8858,6544,917
NM,2016,14711,8378,6333,895
NM,2017,13898,8098,5800,853
NM,2018,13456,7638,5818,850
NM,2019,13223,7597,5626,837
NM,2020,12408,7269,5139,822
NM,2021,12010,7010,5000,813
NM,2022,11581,6642,4939,794
NM,2023,10789,6143,4646,776
