state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
OK,1910,10510,3235,7275,429
OK,1911,11414,3447,7967,451
OK,1912,17250,7152,10098,581
OK,1913,20364,8810,11554,662
OK,1914,24093,10699,13394,732
OK,1915,31970,15165,16805,839
OK,1916,33892,15554,18338,863
OK,1917,36436,16625,19811,871
OK,1918,42985,19644,23341,964
OK,1919,40984,18779,22205,938
OK,1920,47232,21735,25497,994
OK,1921,49283,22975,26308,1025
OK,1922,47155,22113,25042,995
OK,1923,47777,22432,25345,1017
OK,1924,48457,22810,25647,994
OK,1925,48808,22946,25862,970
OK,1926,47673,22659,25014,965
OK,1927,47817,22966,24851,944
OK,1928,46465,22867,23598,921
OK,1929,44614,21814,22800,901
OK,1930,47035,23268,23767,901
OK,1931,43605,21650,21955,889
OK,1932,43670,21722,21948,891
OK,1933,43733,21867,21866,899
OK,1934,45257,22678,22579,904
OK,1935,43748,21780,21968,893
OK,1936,41176,21211,19965,867
OK,1937,39511,20029,19482,839
OK,1938,41397,21076,20321,864
OK,1939,40869,20850,20019,876
OK,1940,41471,21308,20163,879
OK,1941,41974,21721,20253,857
OK,1942,41864,21473,20391,850
OK,1943,43911,22565,21346,840
OK,1944,41839,21552,20287,831
OK,1945,38746,20200,18546,813
OK,1946,44981,23253,21728,852
OK,1947,47964,24897,23067,868
OK,1948,44985,23353,21632,856
OK,1949,44770,23271,21499,847
OK,1950,45447,23796,21651,869
OK,1951,45686,24115,21571,847
OK,1952,45546,24064,21482,849
OK,1953,46594,24565,22029,846
OK,1954,47297,24761,22536,887
OK,1955,46474,24416,22058,887
OK,1956,47117,24838,22279,901
OK,1957,45972,24125,21847,911
OK,1958,44963,23638,21325,927
OK,1959,45304,23969,21335,936
OK,1960,44730,23763,20967,947
OK,1961,44373,23532,20841,917
OK,1962,44171,23552,20619,914
OK,1963,42680,22541,20139,951
OK,1964,40481,21572,18909,891
OK,1965,36322,19297,17025,876
OK,1966,33642,18012,15630,856
OK,1967,33498,17909,15589,852
OK,1968,34293,18311,15982,858
OK,1969,36016,19357,16659,895
OK,1970,37851,20239,17612,907
OK,1971,37879,20235,17644,926
OK,1972,35220,18913,16307,922
OK,1973,33550,18169,15381,901
OK,1974,34461,18614,15847,900
OK,1975,34619,18673,15946,933
OK,1976,35162,19119,16043,915
OK,1977,36776,19861,16915,953
OK,1978,36875,19873,17002,971
OK,1979,39872,21351,18521,1002
OK,1980,42273,22975,19298,1027
OK,1981,43653,23554,20099,1035
OK,1982,48410,25844,22566,1123
OK,1983,46858,25038,21820,1098
OK,1984,44755,24090,20665,1074
OK,1985,43705,23592,20113,1060
OK,1986,41261,22483,18778,1047
OK,1987,38690,20773,17917,1006
OK,1988,38124,20723,17401,1051
OK,1989,37774,20547,17227,1047
OK,1990,37976,20529,17447,1035
OK,1991,37728,20671,17057,1056
OK,1992,37522,20330,17192,1123
OK,1993,35936,19497,16439,1099
OK,1994,35463,19275,16188,1117
OK,1995,35103,19431,15672,1096
OK,1996,35032,19060,15972,1117
OK,1997,36913,20107,16806,1210
OK,1998,37563,20656,16907,1207
OK,1999,36904,20226,16678,1236
OK,2000,37382,20606,16776,1270
OK,2001,37017,20299,16718,1292
OK,2002,37199,20598,16601,1346
OK,2003,37408,20792,16616,1362
OK,2004,37492,20666,16826,1407
OK,2005,37261,20603,16658,1408
OK,2006,38990,21514,17476,1525
OK,2007,39507,21742,17765,1568
OK,2008,38772,21382,17390,1634
OK,2009,38553,21408,17145,1604
OK,2010,37386,20531,16855,1583
OK,2011,36577,20261,16316,1555
OK,2012,36594,20186,16408,1581
OK,2013,37570,21025,16545,1580
OK,2014,37216,20507,16709,1606
OK,2015,37336,20626,16710,1626
OK,2016,36649,20063,16586,1651
OK,2017,34167,18850,15317,1538
