state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
RI,1910,1896,551,1345,125
RI,1911,2882,1198,1684,167
RI,1912,4389,1933,2456,219
RI,1913,5056,2394,2662,237
RI,1914,7275,3460,3815,283
RI,1915,8336,3808,4528,302
RI,1916,9057,4116,4941,307
RI,1917,9559,4394,5165,322
RI,1918,10377,4792,5585,337
RI,1919,9795,4577,5218,333
RI,1920,10681,5072,5609,333
RI,1921,11152,5400,5752,347
RI,1922,10935,5198,5737,334
RI,1923,10936,5231,5705,330
RI,1924,11504,5612,5892,346
RI,1925,11076,5381,5695,339
RI,1926,10758,5316,5442,320
RI,1927,10700,5339,5361,319
RI,1928,10230,5072,5158,319
RI,1929,9541,4636,4905,302
RI,1930,9651,4834,4817,301
RI,1931,9024,4543,4481,288
RI,1932,9018,4562,4456,276
RI,1933,8339,4170,4169,267
RI,1934,8385,4264,4121,269
RI,1935,8369,4228,4141,255
RI,1936,8313,4193,4120,262
RI,1937,8462,4312,4150,257
RI,1938,8772,4463,4309,274
RI,1939,8741,4516,4225,253
RI,1940,9124,4596,4528,278
RI,1941,9812,4947,4865,286
RI,1942,11943,6145,5798,313
RI,1943,12490,6354,6136,317
RI,1944,11737,6029,5708,304
RI,1945,11795,6102,5693,307
RI,1946,14590,7563,7027,332
RI,1947,16413,8470,7943,358
RI,1948,15299,8052,7247,349
RI,1949,15300,8026,7274,341
RI,1950,15292,7999,7293,351
RI,1951,16301,8403,7898,349
RI,1952,17040,8851,8189,356
RI,1953,17211,8917,8294,371
RI,1954,17726,9165,8561,364
RI,1955,17576,9151,8425,376
RI,1956,17609,9207,8402,380
RI,1957,17790,9258,8532,395
RI,1958,16920,8875,8045,387
RI,1959,17168,8892,8276,402
RI,1960,17184,9017,8167,420
RI,1961,17222,8987,8235,442
RI,1962,16539,8706,7833,420
RI,1963,16244,8495,7749,399
RI,1964,16241,8658,7583,415
RI,1965,15619,8313,7306,413
RI,1966,14654,7683,6971,376
RI,1967,14269,7568,6701,401
RI,1968,13500,7110,6390,386
RI,1969,13680,7311,6369,401
RI,1970,13823,7419,6404,408
RI,1971,12710,6729,5981,398
RI,1972,11217,6033,5184,369
RI,1973,10269,5591,4678,365
RI,1974,9530,5071,4459,344
RI,1975,8824,4875,3949,317
RI,1976,8972,4896,4076,334
RI,1977,9677,5262,4415,362
RI,1978,9424,5121,4303,339
RI,1979,9771,5300,4471,373
RI,1980,10054,5512,4542,366
RI,1981,10160,5709,4451,364
RI,1982,10308,5600,4708,369
RI,1983,10442,5705,4737,358
RI,1984,10464,5808,4656,351
RI,1985,10761,5948,4813,378
RI,1986,11034,5978,5056,359
RI,1987,11443,6218,5225,384
RI,1988,11501,6309,5192,403
RI,1989,11907,6551,5356,417
RI,1990,12185,6661,5524,430
RI,1991,11804,6539,5265,431
RI,1992,11634,6406,5228,434
RI,1993,11113,6126,4987,440
RI,1994,10688,5934,4754,421
RI,1995,10168,5605,4563,421
RI,1996,9803,5535,4268,414
RI,1997,9412,5230,4182,413
RI,1998,9532,5390,4142,436
RI,1999,9271,5121,4150,430
RI,2000,9070,5268,3802,436
RI,2001,9037,5059,3978,454
RI,2002,9095,5186,3909,445
RI,2003,9150,5251,3899,464
RI,2004,8970,5038,3932,467
RI,2005,8702,4953,3749,463
RI,2006,8383,4838,3545,466
RI,2007,8229,4775,3454,465
RI,2008,7745,4501,3244,460
RI,2009,7287,4224,3063,450
RI,2010,7033,4034,2999,448
RI,2011,6938,4025,2913,447
RI,2012,6911,3932,2979,435
RI,2013,6779,3877,2902,446
RI,2014,6746,3856,2890,444
RI,2015,6776,3831,2945,459
RI,2016,6766,3910,2856,465
RI,2017,6380,3554,2826,445
RI,2018,6304,3517,2787,447
RI,2019,6031,3344,2687,450
RI,2020,5956,3359,2597,443
RI,2021,6115,3398,2717,470
RI,2022,5917,3381,2536,454
RI,2023,5589,3204,2385,455
