state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
MD,1910,7002,2231,4771,272
MD,1911,7559,2648,4911,285
MD,1912,11774,5124,6650,355
MD,1913,13015,5847,7168,378
MD,1914,16785,7568,9217,435
MD,1915,21728,9738,11990,480
MD,1916,22261,10215,12046,485
MD,1917,23337,10602,12735,489
MD,1918,25515,11770,13745,501
MD,1919,25807,11855,13952,518
MD,1920,27846,12931,14915,542
MD,1921,28569,13423,15146,542
MD,1922,26899,12615,14284,528
MD,1923,27327,12844,14483,540
MD,1924,27739,13337,14402,540
MD,1925,27326,13278,14048,528
MD,1926,26627,13088,13539,524
MD,1927,26539,12642,13897,531
MD,1928,25995,12621,13374,525
MD,1929,24629,12064,12565,504
MD,1930,24715,12186,12529,510
MD,1931,23439,11629,11810,511
MD,1932,23876,11725,12151,507
MD,1933,22445,11030,11415,488
MD,1934,22775,11276,11499,483
MD,1935,23021,11481,11540,505
MD,1936,22398,11286,11112,488
MD,1937,23608,11721,11887,523
MD,1938,24894,12460,12434,532
MD,1939,24484,12463,12021,523
MD,1940,26482,13480,13002,549
MD,1941,29913,15182,14731,571
MD,1942,36036,18337,17699,631
MD,1943,38473,19615,18858,643
MD,1944,36314,18288,18026,638
MD,1945,36051,18537,17514,641
MD,1946,43068,22000,21068,702
MD,1947,49773,25603,24170,749
MD,1948,46597,24055,22542,744
MD,1949,46140,23683,22457,731
MD,1950,47225,24418,22807,746
MD,1951,51226,26526,24700,763
MD,1952,53697,27638,26059,811
MD,1953,55259,28428,26831,834
MD,1954,58295,30133,28162,838
MD,1955,59226,30505,28721,874
MD,1956,61039,31572,29467,898
MD,1957,63186,32783,30403,926
MD,1958,62129,32120,30009,937
MD,1959,63326,32830,30496,961
MD,1960,62937,32796,30141,955
MD,1961,63147,32818,30329,980
MD,1962,60945,31662,29283,956
MD,1963,62619,32750,29869,990
MD,1964,62985,32921,30064,1002
MD,1965,59170,30967,28203,964
MD,1966,56945,29602,27343,947
MD,1967,54606,28822,25784,955
MD,1968,53018,27737,25281,950
MD,1969,53456,28385,25071,972
MD,1970,53328,28116,25212,970
MD,1971,49939,26492,23447,976
MD,1972,44171,23590,20581,928
MD,1973,40324,21519,18805,913
MD,1974,39363,20820,18543,909
MD,1975,38387,20709,17678,911
MD,1976,37669,20220,17449,915
MD,1977,40106,21648,18458,975
MD,1978,39614,21355,18259,932
MD,1979,42135,22658,19477,983
MD,1980,43591,23393,20198,989
MD,1981,45147,24187,20960,1012
MD,1982,47883,25599,22284,1040
MD,1983,48494,25962,22532,1030
MD,1984,49603,26716,22887,1043
MD,1985,51869,27753,24116,1066
MD,1986,52818,28295,24523,1109
MD,1987,54613,29104,25509,1153
MD,1988,56627,30656,25971,1200
MD,1989,59798,32092,27706,1267
MD,1990,61541,33177,28364,1353
MD,1991,60303,32689,27614,1352
MD,1992,58741,31867,26874,1376
MD,1993,56108,30419,25689,1384
MD,1994,55328,30067,25261,1376
MD,1995,54163,29511,24652,1388
MD,1996,53437,28727,24710,1397
MD,1997,51741,28101,23640,1431
MD,1998,52420,28482,23938,1486
MD,1999,52332,28391,23941,1505
MD,2000,53343,28748,24595,1562
MD,2001,52308,28286,24022,1561
MD,2002,52042,28289,23753,1593
MD,2003,53411,29167,24244,1633
MD,2004,53014,28507,24507,1676
MD,2005,53541,28776,24765,1724
MD,2006,55253,30107,25146,1800
MD,2007,55778,30102,25676,1852
MD,2008,55171,29898,25273,1900
MD,2009,53472,28753,24719,1861
MD,2010,52530,28197,24333,1823
MD,2011,52000,28027,23973,1863
MD,2012,51831,27736,24095,1854
MD,2013,50995,27477,23518,1797
MD,2014,52525,28220,24305,1871
MD,2015,51897,27805,24092,1857
MD,2016,51584,27551,24033,1903
MD,2017,49758,26496,23262,1861
MD,2018,49720,26377,23343,1882
MD,2019,48400,26029,22371,1871
MD,2020,47351,25045,22306,1923
MD,2021,47024,24920,22104,1904
MD,2022,46928,24813,22115,1963
MD,2023,43917,23138,20779,1879
