state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
NJ,1910,12317,3671,8646,348
NJ,1911,15556,5542,10014,390
NJ,1912,25770,11933,13837,485
NJ,1913,29200,13545,15655,496
NJ,1914,38099,18033,20066,576
NJ,1915,49969,22861,27108,668
NJ,1916,52943,24237,28706,679
NJ,1917,55962,26087,29875,701
NJ,1918,59107,27468,31639,714
NJ,1919,57349,26730,30619,701
NJ,1920,60713,29079,31634,712
NJ,1921,61518,29720,31798,730
NJ,1922,59925,28976,30949,709
NJ,1923,61184,29539,31645,750
NJ,1924,62325,30333,31992,721
NJ,1925,60822,29715,31107,726
NJ,1926,60550,30069,30481,749
NJ,1927,61084,30022,31062,736
NJ,1928,59464,29395,30069,736
NJ,1929,58110,28940,29170,717
NJ,1930,58504,29097,29407,722
NJ,1931,54623,27106,27517,684
NJ,1932,53070,26477,26593,674
NJ,1933,48633,24517,24116,635
NJ,1934,47556,23912,23644,649
NJ,1935,47937,24466,23471,660
NJ,1936,47562,24055,23507,656
NJ,1937,48576,24597,23979,668
NJ,1938,50177,25472,24705,681
NJ,1939,50621,25682,24939,702
NJ,1940,53007,27171,25836,709
NJ,1941,59502,30336,29166,741
NJ,1942,73110,37429,35681,807
NJ,1943,73634,37479,36155,826
NJ,1944,67185,34453,32732,767
NJ,1945,68465,35112,33353,786
NJ,1946,85423,43988,41435,854
NJ,1947,95887,49472,46415,925
NJ,1948,88237,45350,42887,896
NJ,1949,88316,45868,42448,901
NJ,1950,89039,46015,43024,911
NJ,1951,95863,49524,46339,938
NJ,1952,100565,51939,48626,958
NJ,1953,102910,52992,49918,996
NJ,1954,108779,56127,52652,1028
NJ,1955,111143,57518,53625,1077
NJ,1956,114001,58897,55104,1111
NJ,1957,119021,61432,57589,1184
NJ,1958,118340,60896,57444,1203
NJ,1959,118433,61267,57166,1258
NJ,1960,119926,62101,57825,1274
NJ,1961,121739,63047,58692,1289
NJ,1962,118519,61484,57035,1287
NJ,1963,119293,61800,57493,1319
NJ,1964,118592,61677,56915,1308
NJ,1965,112162,58321,53841,1323
NJ,1966,107673,56099,51574,1328
NJ,1967,103592,53958,49634,1319
NJ,1968,100904,52666,48238,1365
NJ,1969,103582,54014,49568,1412
NJ,1970,105641,55411,50230,1494
NJ,1971,98035,51624,46411,1487
NJ,1972,86632,45910,40722,1455
NJ,1973,81372,43200,38172,1453
NJ,1974,80419,42822,37597,1471
NJ,1975,77242,41272,35970,1456
NJ,1976,75718,40498,35220,1475
NJ,1977,78385,41676,36709,1530
NJ,1978,77628,41367,36261,1547
NJ,1979,79629,42437,37192,1591
NJ,1980,79918,42726,37192,1565
NJ,1981,79696,42437,37259,1547
NJ,1982,82228,43973,38255,1545
NJ,1983,82083,43849,38234,1531
NJ,1984,83435,44320,39115,1521
NJ,1985,86934,46526,40408,1574
NJ,1986,89537,47554,41983,1616
NJ,1987,93450,49892,43558,1683
NJ,1988,96684,51419,45265,1728
NJ,1989,103058,55068,47990,1868
NJ,1990,102691,54740,47951,1910
NJ,1991,100081,53406,46675,1936
NJ,1992,98199,52661,45538,1942
NJ,1993,95463,50975,44488,1917
NJ,1994,94544,50537,44007,1957
NJ,1995,92327,49529,42798,1955
NJ,1996,90963,48635,42328,1968
NJ,1997,89833,48080,41753,2030
NJ,1998,90125,48647,41478,2065
NJ,1999,88956,47430,41526,2054
NJ,2000,89672,47922,41750,2121
NJ,2001,89532,48136,41396,2235
NJ,2002,88966,47765,41201,2190
NJ,2003,90527,48337,42190,2335
NJ,2004,89061,47461,41600,2332
NJ,2005,87509,46923,40586,2367
NJ,2006,87732,47046,40686,2402
NJ,2007,88016,46826,41190,2509
NJ,2008,84855,45579,39276,2476
NJ,2009,82907,44598,38309,2472
NJ,2010,79980,42779,37201,2430
NJ,2011,79316,42373,36943,2425
NJ,2012,77917,41431,36486,2430
NJ,2013,77959,41490,36469,2413
NJ,2014,78932,41886,37046,2446
NJ,2015,78645,41524,37121,2418
NJ,2016,77958,41449,36509,2422
NJ,2017,76544,40701,35843,2423
