state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
OR,1910,1943,570,1373,146
OR,1911,2330,753,1577,166
OR,1912,4281,1893,2388,228
OR,1913,5020,2416,2604,261
OR,1914,6560,3180,3380,315
OR,1915,8965,4285,4680,372
OR,1916,9297,4435,4862,377
OR,1917,9421,4547,4874,377
OR,1918,10419,5035,5384,402
OR,1919,10330,5040,5290,391
OR,1920,11593,5622,5971,421
OR,1921,12173,6006,6167,423
OR,1922,11584,5731,5853,400
OR,1923,11719,5698,6021,396
OR,1924,12215,6000,6215,421
OR,1925,11913,5972,5941,405
OR,1926,11432,5809,5623,405
OR,1927,11415,5830,5585,391
OR,1928,11210,5658,5552,404
OR,1929,10612,5445,5167,387
OR,1930,10770,5529,5241,370
OR,1931,10473,5413,5060,372
OR,1932,10197,5246,4951,380
OR,1933,9762,5101,4661,365
OR,1934,10389,5365,5024,371
OR,1935,10609,5546,5063,386
OR,1936,11444,6027,5417,393
OR,1937,12572,6551,6021,418
OR,1938,13285,7024,6261,423
OR,1939,13918,7344,6574,437
OR,1940,15038,7903,7135,455
OR,1941,16042,8343,7699,468
OR,1942,19269,10216,9053,514
OR,1943,22051,11563,10488,546
OR,1944,21071,11115,9956,536
OR,1945,20930,11119,9811,525
OR,1946,26839,14083,12756,592
OR,1947,32272,16945,15327,674
OR,1948,30917,16161,14756,638
OR,1949,31253,16223,15030,650
OR,1950,31912,16807,15105,668
OR,1951,32943,17190,15753,678
OR,1952,35123,18522,16601,675
OR,1953,35271,18664,16607,708
OR,1954,34135,18069,16066,693
OR,1955,34218,17951,16267,711
OR,1956,34001,17878,16123,722
OR,1957,33553,17624,15929,729
OR,1958,32037,16841,15196,727
OR,1959,32420,17151,15269,749
OR,1960,34228,18057,16171,755
OR,1961,33138,17573,15565,757
OR,1962,32596,17194,15402,763
OR,1963,30627,16261,14366,763
OR,1964,29266,15543,13723,748
OR,1965,28862,15400,13462,757
OR,1966,28237,14979,13258,755
OR,1967,27579,14792,12787,740
OR,1968,28053,14943,13110,739
OR,1969,29533,15744,13789,754
OR,1970,30972,16603,14369,795
OR,1971,29022,15662,13360,809
OR,1972,27178,14540,12638,777
OR,1973,26647,14331,12316,767
OR,1974,28028,14985,13043,790
OR,1975,28841,15768,13073,796
OR,1976,30008,16215,13793,837
OR,1977,32248,17517,14731,888
OR,1978,33583,18133,15450,900
OR,1979,36189,19394,16795,950
OR,1980,37180,19865,17315,932
OR,1981,37081,20108,16973,936
OR,1982,35470,19126,16344,912
OR,1983,34386,18411,15975,865
OR,1984,34349,18695,15654,856
OR,1985,33838,18194,15644,883
OR,1986,33329,17974,15355,886
OR,1987,33059,17745,15314,892
OR,1988,34029,18343,15686,961
OR,1989,35516,19452,16064,974
OR,1990,36991,20210,16781,1030
OR,1991,36529,19675,16854,1024
OR,1992,35687,19435,16252,1056
OR,1993,35192,19227,15965,1051
OR,1994,35163,19139,16024,1086
OR,1995,35547,19303,16244,1104
OR,1996,36313,19661,16652,1161
OR,1997,35485,19347,16138,1156
OR,1998,36419,19984,16435,1192
OR,1999,36100,19790,16310,1230
OR,2000,36238,19775,16463,1219
OR,2001,35340,19404,15936,1229
OR,2002,35320,19294,16026,1272
OR,2003,35853,19623,16230,1295
OR,2004,35229,19333,15896,1288
OR,2005,35319,19432,15887,1335
OR,2006,36826,20347,16479,1401
OR,2007,37185,20428,16757,1450
OR,2008,36697,20118,16579,1459
OR,2009,34923,19303,15620,1425
OR,2010,33360,18298,15062,1416
OR,2011,32986,18164,14822,1415
OR,2012,32871,18048,14823,1415
OR,2013,32939,17949,14990,1403
OR,2014,33766,18321,15445,1487
OR,2015,33266,18086,15180,1445
OR,2016,33477,18322,15155,1469
OR,2017,31657,17233,14424,1429
