state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
VT,1910,950,269,681,88
VT,1911,1410,516,894,120
VT,1912,2202,892,1310,155
VT,1913,2470,1127,1343,164
VT,1914,3451,1518,1933,200
VT,1915,4421,1965,2456,241
VT,1916,4448,2056,2392,235
VT,1917,4533,1999,2534,248
VT,1918,4968,2342,2626,260
VT,1919,4573,2121,2452,250
VT,1920,4922,2326,2596,253
VT,1921,5316,2497,2819,270
VT,1922,5107,2426,2681,267
VT,1923,4963,2398,2565,256
VT,1924,5139,2463,2676,255
VT,1925,5094,2485,2609,263
VT,1926,4917,2416,2501,255
VT,1927,5009,2561,2448,245
VT,1928,5068,2407,2661,245
VT,1929,4945,2409,2536,246
VT,1930,5091,2555,2536,246
VT,1931,5089,2515,2574,247
VT,1932,4818,2432,2386,242
VT,1933,4608,2294,2314,230
VT,1934,4699,2323,2376,228
VT,1935,4984,2458,2526,237
VT,1936,4882,2450,2432,226
VT,1937,4779,2415,2364,233
VT,1938,4826,2472,2354,235
VT,1939,4852,2494,2358,237
VT,1940,5063,2547,2516,230
VT,1941,5138,2637,2501,233
VT,1942,5375,2856,2519,241
VT,1943,5537,2939,2598,244
VT,1944,5143,2583,2560,227
VT,1945,5199,2756,2443,242
VT,1946,6498,3366,3132,258
VT,1947,7642,3969,3673,282
VT,1948,7402,3934,3468,278
VT,1949,7410,3881,3529,279
VT,1950,7278,3808,3470,274
VT,1951,7419,3862,3557,277
VT,1952,7509,3902,3607,283
VT,1953,7449,3846,3603,272
VT,1954,7574,3996,3578,298
VT,1955,7673,4029,3644,303
VT,1956,7419,3948,3471,287
VT,1957,7599,4028,3571,305
VT,1958,7558,3970,3588,314
VT,1959,7675,4083,3592,317
VT,1960,7473,3877,3596,313
VT,1961,7425,3925,3500,308
VT,1962,7248,3852,3396,297
VT,1963,7001,3732,3269,293
VT,1964,6902,3673,3229,308
VT,1965,6341,3396,2945,282
VT,1966,6111,3270,2841,285
VT,1967,5966,3268,2698,280
VT,1968,5824,3118,2706,268
VT,1969,6129,3278,2851,285
VT,1970,6468,3537,2931,304
VT,1971,6116,3299,2817,290
VT,1972,5471,2980,2491,279
VT,1973,4927,2668,2259,260
VT,1974,4854,2650,2204,256
VT,1975,4896,2698,2198,255
VT,1976,4794,2701,2093,237
VT,1977,5087,2755,2332,251
VT,1978,5277,2817,2460,265
VT,1979,5542,3073,2469,271
VT,1980,5885,3236,2649,270
VT,1981,5849,3209,2640,260
VT,1982,5980,3201,2779,274
VT,1983,6023,3291,2732,277
VT,1984,6038,3276,2762,282
VT,1985,6036,3318,2718,267
VT,1986,6033,3317,2716,275
VT,1987,5965,3296,2669,265
VT,1988,5916,3298,2618,279
VT,1989,6167,3424,2743,286
VT,1990,6016,3351,2665,279
VT,1991,5650,3151,2499,276
VT,1992,5394,3012,2382,282
VT,1993,5180,2912,2268,269
VT,1994,5112,2828,2284,287
VT,1995,4552,2576,1976,277
VT,1996,4461,2551,1910,273
VT,1997,4272,2446,1826,277
VT,1998,4282,2350,1932,284
VT,1999,4151,2368,1783,265
VT,2000,4099,2361,1738,282
VT,2001,3957,2274,1683,278
VT,2002,3865,2260,1605,267
VT,2003,3898,2290,1608,267
VT,2004,3855,2262,1593,280
VT,2005,3773,2190,1583,288
VT,2006,3562,2090,1472,268
VT,2007,3575,2020,1555,273
VT,2008,3350,1939,1411,267
VT,2009,3186,1917,1269,261
VT,2010,3091,1845,1246,269
VT,2011,3027,1742,1285,260
VT,2012,2941,1775,1166,257
VT,2013,3054,1808,1246,278
VT,2014,3112,1808,1304,277
VT,2015,2892,1686,1206,264
VT,2016,2760,1648,1112,261
VT,2017,2647,1529,1118,253
