state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
WV,1910,7719,2000,5719,343
WV,1911,8620,2425,6195,371
WV,1912,12951,4985,7966,475
WV,1913,15025,6046,8979,528
WV,1914,18792,8035,10757,586
WV,1915,25920,11125,14795,710
WV,1916,26370,11181,15189,707
WV,1917,28155,12039,16116,719
WV,1918,31586,14022,17564,771
WV,1919,30167,13378,16789,747
WV,1920,33698,15206,18492,794
WV,1921,37168,16828,20340,818
WV,1922,36485,16654,19831,817
WV,1923,37914,17217,20697,821
WV,1924,40016,18458,21558,827
WV,1925,38169,17621,20548,822
WV,1926,37513,17555,19958,804
WV,1927,38648,18284,20364,831
WV,1928,37484,17970,19514,781
WV,1929,34903,16734,18169,777
WV,1930,35514,17146,18368,788
WV,1931,33349,16195,17154,745
WV,1932,34331,16785,17546,760
WV,1933,32319,15871,16448,720
WV,1934,36165,17857,18308,764
WV,1935,36340,17921,18419,769
WV,1936,36327,17966,18361,751
WV,1937,37589,18541,19048,764
WV,1938,38215,19170,19045,765
WV,1939,37734,18969,18765,766
WV,1940,38307,19372,18935,769
WV,1941,39444,19856,19588,750
WV,1942,41419,20860,20559,784
WV,1943,39643,20170,19473,752
WV,1944,37179,18870,18309,728
WV,1945,35780,18280,17500,720
WV,1946,45057,23195,21862,753
WV,1947,51233,26196,25037,823
WV,1948,48792,24858,23934,804
WV,1949,48804,24953,23851,803
WV,1950,47219,24305,22914,800
WV,1951,47284,24353,22931,786
WV,1952,45965,23758,22207,796
WV,1953,43348,22533,20815,760
WV,1954,43562,22588,20974,769
WV,1955,41228,21568,19660,771
WV,1956,41479,21573,19906,798
WV,1957,41334,21578,19756,771
WV,1958,40839,21508,19331,791
WV,1959,38386,20063,18323,756
WV,1960,36352,18956,17396,753
WV,1961,35621,18809,16812,729
WV,1962,33814,17688,16126,719
WV,1963,32141,17007,15134,720
WV,1964,32346,17108,15238,719
WV,1965,28606,15051,13555,667
WV,1966,26797,14188,12609,631
WV,1967,25833,13505,12328,614
WV,1968,25921,13732,12189,641
WV,1969,25458,13585,11873,630
WV,1970,26818,14016,12802,656
WV,1971,27475,14443,13032,672
WV,1972,26009,13825,12184,656
WV,1973,24423,13040,11383,626
WV,1974,23969,12805,11164,607
WV,1975,24225,13025,11200,620
WV,1976,24802,13217,11585,624
WV,1977,26597,14267,12330,657
WV,1978,25462,13665,11797,612
WV,1979,26078,13898,12180,630
WV,1980,25945,13971,11974,624
WV,1981,24461,12936,11525,615
WV,1982,23995,12686,11309,597
WV,1983,23111,12409,10702,593
WV,1984,21735,11752,9983,564
WV,1985,21407,11582,9825,567
WV,1986,20556,11111,9445,570
WV,1987,19645,10573,9072,550
WV,1988,19004,10342,8662,546
WV,1989,19058,10262,8796,550
WV,1990,19302,10515,8787,563
WV,1991,19092,10327,8765,566
WV,1992,18631,10267,8364,563
WV,1993,18367,9943,8424,568
WV,1994,17776,9861,7915,564
WV,1995,17204,9472,7732,559
WV,1996,16787,9186,7601,556
WV,1997,16608,9273,7335,579
WV,1998,16227,8911,7316,569
WV,1999,16129,8856,7273,568
WV,2000,16461,9190,7271,614
WV,2001,15889,8752,7137,611
WV,2002,15990,8852,7138,619
WV,2003,16283,9068,7215,643
WV,2004,16094,8916,7178,665
WV,2005,15857,8991,6866,689
WV,2006,15780,8766,7014,696
WV,2007,16050,9017,7033,706
WV,2008,15532,8653,6879,718
WV,2009,15353,8572,6781,731
WV,2010,14648,8055,6593,709
WV,2011,15028,8484,6544,732
WV,2012,14934,8336,6598,741
WV,2013,14992,8374,6618,758
WV,2014,14402,8091,6311,741
WV,2015,14479,8159,6320,773
WV,2016,13886,7798,6088,771
WV,2017,13324,7472,5852,765
WV,2018,13145,7535,5610,758
WV,2019,12987,7308,5679,757
WV,2020,12347,6925,5422,736
WV,2021,12447,6994,5453,751
WV,2022,11982,6643,5339,743
WV,2023,11490,6440,5050,719
