state,year,totalPopulation,malePopulation,femalePopulation,uniqueNames
SD,1910,2370,604,1766,162
SD,1911,2704,822,1882,191
SD,1912,4602,1876,2726,262
SD,1913,5625,2541,3084,289
SD,1914,6865,3346,3519,335
SD,1915,9643,4583,5060,401
SD,1916,10942,5103,5839,438
SD,1917,11481,5349,6132,457
SD,1918,12261,5804,6457,476
SD,1919,11925,5703,6222,441
SD,1920,13020,6238,6782,466
SD,1921,13215,6396,6819,472
SD,1922,12723,6209,6514,465
SD,1923,12496,6129,6367,445
SD,1924,12475,6137,6338,460
SD,1925,11804,5862,5942,434
SD,1926,11761,5865,5896,443
SD,1927,10910,5604,5306,403
SD,1928,11312,5743,5569,425
SD,1929,11069,5696,5373,428
SD,1930,11391,5740,5651,427
SD,1931,11063,5570,5493,417
SD,1932,10822,5459,5363,412
SD,1933,10404,5253,5151,399
SD,1934,10549,5356,5193,409
SD,1935,10386,5386,5000,414
SD,1936,10406,5300,5106,393
SD,1937,9380,4754,4626,371
SD,1938,9457,4869,4588,382
SD,1939,9605,4891,4714,379
SD,1940,9771,5053,4718,388
SD,1941,9757,5140,4617,373
SD,1942,9854,5152,4702,368
SD,1943,10325,5338,4987,373
SD,1944,10039,5270,4769,357
SD,1945,9820,5207,4613,359
SD,1946,11920,6253,5667,395
SD,1947,13657,7164,6493,429
SD,1948,14008,7282,6726,427
SD,1949,14797,7753,7044,447
SD,1950,15293,8072,7221,463
SD,1951,15699,8133,7566,463
SD,1952,15784,8362,7422,463
SD,1953,15447,8064,7383,460
SD,1954,15514,8166,7348,494
SD,1955,16079,8416,7663,499
SD,1956,15682,8218,7464,498
SD,1957,15092,8012,7080,491
SD,1958,14791,7744,7047,473
SD,1959,15396,8109,7287,519
SD,1960,14910,7836,7074,513
SD,1961,14820,7750,7070,510
SD,1962,14395,7694,6701,514
SD,1963,13896,7372,6524,489
SD,1964,13004,6752,6252,479
SD,1965,11212,6071,5141,440
SD,1966,10062,5332,4730,422
SD,1967,9038,4728,4310,386
SD,1968,8901,4838,4063,379
SD,1969,9002,4838,4164,397
SD,1970,9356,5077,4279,415
SD,1971,9042,4862,4180,406
SD,1972,8270,4446,3824,393
SD,1973,8142,4397,3745,372
SD,1974,8570,4627,3943,388
SD,1975,8649,4724,3925,377
SD,1976,8987,4857,4130,400
SD,1977,9345,5049,4296,394
SD,1978,9484,5238,4246,394
SD,1979,10018,5319,4699,420
SD,1980,10351,5675,4676,425
SD,1981,9914,5425,4489,412
SD,1982,10094,5352,4742,422
SD,1983,9723,5309,4414,383
SD,1984,9615,5245,4370,383
SD,1985,9252,5120,4132,387
SD,1986,8836,4778,4058,378
SD,1987,8797,4740,4057,385
SD,1988,8427,4703,3724,371
SD,1989,8351,4680,3671,385
SD,1990,8241,4572,3669,388
SD,1991,8129,4550,3579,385
SD,1992,8154,4484,3670,394
SD,1993,7753,4394,3359,392
SD,1994,7669,4385,3284,405
SD,1995,7419,4145,3274,396
SD,1996,7258,4166,3092,391
SD,1997,6918,3877,3041,388
SD,1998,6883,3976,2907,407
SD,1999,7101,4059,3042,416
SD,2000,6769,3893,2876,398
SD,2001,6889,3847,3042,432
SD,2002,6901,3952,2949,424
SD,2003,7237,4038,3199,453
SD,2004,7270,4231,3039,467
SD,2005,7392,4174,3218,490
SD,2006,7411,4232,3179,497
SD,2007,7541,4287,3254,519
SD,2008,7299,4166,3133,511
SD,2009,7151,4119,3032,500
SD,2010,6990,3971,3019,529
SD,2011,7009,3978,3031,510
SD,2012,7057,4075,2982,526
SD,2013,7269,4123,3146,532
SD,2014,7352,4204,3148,557
SD,2015,7230,4182,3048,537
SD,2016,7173,4083,3090,541
SD,2017,7002,3930,3072,534
SD,2018,6845,3786,3059,542
SD,2019,6641,3756,2885,542
SD,2020,5981,3346,2635,510
SD,2021,6562,3769,2793,552
SD,2022,6253,3658,2595,520
SD,2023,6382,3601,2781,547
